country,PISAscore
Singapore,556
Japan,538
Estonia,534
Chinese Taipei,532
Finland,531
Macau China,529
Canada,528
Vietnam,525
Hong Kong,523
China,518
Republic of Korea,516
New Zealand,513
Australia,510
United Kingdom,509
Netherlands,509
Switzerland,506
Ireland,503
Belgium,502
Denmark,502
Poland,501
Portugal,501
Norway,498
United States,496
Austria,495
France,495
Sweden,493
Czech Repulic,493
Spain,493
Latvia,490
Russian Federation,487
Luxembourg,483
Italy,481
Hungary,477
Lithuania,475
Croatia,475
Buenos Aires,475
Iceland,473
Israel,467
Malta,465
Slovak Republic,461
Greece,455
Chile,447
Bulgaria,446
United Arab Emirates,437
Uruguay,435
Romania,435
Cyprus,433
Republic of Moldova,428
Albania,427
Turkey,425
Trinidad and Tobago,425
Thailand,425
Costo Rica,420
Qatar,418
Mexico,416
Republic of Montenegro,411
Georgia,411
Jordan,409
Indonesia,403
Brazil,401
Peru,397
Lebanon,386
Tunisia,386
Republic of Macedonia,384
Kosovo,378
Algeria,376
Dominican Republic,332
